Title,Author,PubYear,idx,Domain,CodedAge,Age,MeanAge,YoungOld,mean.e,mean.c,n.e,n.c,sd.e,sd.c
Cognitive activities and cognitive performance in middle-aged adults at risk for Alzheimer’s disease,Jonaitis et al (2013),2013,36,Construction,1,M,54,1,54.5547703,55.9056604,283,477,8.5315229,8.3644349
Connectome signatures of hyperexcitation in cognitively intact middle-aged female apoe-∈4 carriers,Fortel et al. (2020),2020,37,Spatial Navigation,1,M,50.85,1,2.8,3.5,38,38,0.96,0.9
Connectome signatures of hyperexcitation in cognitively intact middle-aged female apoe-∈4 carriers,Fortel et al. (2020),2020,37,Spatial Navigation,1,M,50.85,1,40.1,35.9,38,38,25.2,22.7
Context-specific memory and apolipoprotein E (ApoE) 4: Cognitive evidence from the NIMH prospective study of risk for Alzheimer’s disease,Levy et al (2004),2004,38,Spatial Long Term Memory,1,MO,59.4,1,17.8,17.4,61,115,7.1,7.1
Decreased Cognition in Children with Risk Factors for Alzheimer's Disease,Bloss et al. (2008),2008,39,Construction,NA,C,13.4,NA,53.33,52.35,22,80,8.26,12.89
Differential effects of the APOE genotype on brain function across the lifespan,Filippini et al (2011),2011,40,Composite,1,O,64.4,1,15.9,15.8,15,20,0.3,0.5
Differential effects of the ApoE4 genotype on brain structure and function,Matura et al (2014),2014,41,Spatial Long Term Memory,0,Y,26.4,0,33,32.4,25,25,2.7,3.6
Differential effects of the ApoE4 genotype on brain structure and function,Matura et al (2014),2014,41,Spatial Working Memory ,0,Y,26.4,0,19.2,19.4,25,25,1.9,2.7
Disrupted Functional and Structural Networks in Cognitively Normal Elderly Subjects with the APOE epsilon 4 Allele,Chen et al. (2015),2015,42,Construction,1,O,65.76133333,1,33.06,32.83,35,40,3.77,2.73
Disrupted Functional and Structural Networks in Cognitively Normal Elderly Subjects with the APOE epsilon 4 Allele,Chen et al. (2015),2015,42,Spatial Long Term Memory,1,O,65.76133333,1,11.11,10.53,35,40,6.79,6.87
Dissociable effects of APOE ε4 and β-amyloid pathology on visual working memory,Lu et al (2021),2021,43,Spatial Working Memory,1,O,70.6,1,-123,-132,120,278,27,36
Dissociable effects of the apolipoprotein-E (APOE) gene on short- and long-term memories,Zokaei et al (2019),2019,44,Composite,1,O,66.8,1,15,15.5,44,22,0.76,0.6
Early effect of ApoE-epsilon 4 allele on cognitive results in a group of highly performing subjects: The EVA study,Berr et al (1996),1996,45,Spatial Long Term Memory,1,O,65.03560477,1,64.7,65.04,257,900,2.9,2.96
Effects of ε4 on object recognition in the non-demented elderly,Haley et al (2010),2010,46,Spatial Long Term Memory,1,O,NA,1,17.03148148,18.37931034,27,87,3.87,4.48
Effects of ε4 on object recognition in the non-demented elderly,Haley et al (2010),2010,46,Spatial Working Memory ,1,O,NA,1,6.953333333,6.877142857,24,84,1.396202642,1.716523713
Effects of ε4 on object recognition in the non-demented elderly,Haley et al (2010),2010,46,Spatial Working Memory ,1,O,NA,1,6.776666667,6.601428571,24,84,1.690809381,2.002390035
Event-related potential changes in groups at increased risk for Alzheimer disease,Green & Levey (1999),1999,47,Construction,1,M,55.5,1,33.1,32.9,9,8,5.8,7.9
Evidence for Reduced Autobiographical Memory Episodic Specificity in Cognitively Normal Middle-Aged and Older Individuals at Increased Risk for Alzheimer's Disease Dementia,Grilli et al. (2018),2018,48,Construction,1,O,66.57428571,1,0.4,-0.2,18,17,1.3,0.8
Evidence for Reduced Autobiographical Memory Episodic Specificity in Cognitively Normal Middle-Aged and Older Individuals at Increased Risk for Alzheimer's Disease Dementia,Grilli et al. (2018),2018,48,Construction,1,O,66.57428571,1,0.9,0.6,18,17,1,1
Evidence for Reduced Autobiographical Memory Episodic Specificity in Cognitively Normal Middle-Aged and Older Individuals at Increased Risk for Alzheimer's Disease Dementia,Grilli et al. (2018),2018,48,Spatial Long Term Memory,1,O,66.57428571,1,1.1,0,18,17,0.9,0.8
Evidence of cerebral hemodynamic dysregulation in middle-aged APOE ε4 carriers: The PREVENT-Dementia study,Dounavi et al (2021),2021,49,Spatial Long Term Memory,1,M,51.11,1,13.2,11.9,61,97,4,4.4
Failing compensatory mechanisms during working memory in older apolipoprotein E-ε4 healthy adults,Filbey et al (2010),2010,50,Spatial Working Memory ,0,Y,25.5,0,97,95,7,7,4,7
Failing compensatory mechanisms during working memory in older apolipoprotein E-ε4 healthy adults,Filbey et al (2010),2010,50,Spatial Working Memory ,1,M,59.8,1,91,91,17,17,0.09,0.08
Family history and APOE4 risk for Alzheimer's disease impact the neural correlates of episodic memory by early midlife,Rajah et al (2017),2017,51,Spatial Long Term Memory,1,M,51.6,1,0.85,0.86,11,14,0.099498744,0.112249722
Family history and APOE4 risk for Alzheimer's disease impact the neural correlates of episodic memory by early midlife,Rajah et al (2017),2017,51,Spatial Long Term Memory,1,M,51.6,1,0.83,0.87,11,14,0.099498744,0.074833148
Functional connectivity between the entorhinal and posterior cingulate cortices underpins navigation discrepancies in at-risk Alzheimer's disease,Coughlan et al (2020),2020,52,Spatial Navigation,1,O,62.2,1,7.34,7.43,32,32,3,2.7
Functional connectivity between the entorhinal and posterior cingulate cortices underpins navigation discrepancies in at-risk Alzheimer's disease,Coughlan et al (2020),2020,52,Spatial Long Term Memory,1,O,62.2,1,9.47,10.22,32,32,1.23,2.91
Functional connectivity between the entorhinal and posterior cingulate cortices underpins navigation discrepancies in at-risk Alzheimer's disease,Coughlan et al (2020),2020,52,Spatial Long Term Memory,1,O,62.2,1,17.66,22.92,32,32,4.95,2.77
Functional connectivity between the entorhinal and posterior cingulate cortices underpins navigation discrepancies in at-risk Alzheimer's disease,Coughlan et al (2020),2020,52,Construction,1,O,62.2,1,32.12,33.77,32,32,2.67,6.36
Gender Modulates the APOE epsilon 4 Effect in Healthy Older Adults: Convergent Evidence from Functional Brain Connectivity and Spinal Fluid Tau Levels,Damoiseux et al (2012),2012,53,Spatial Long Term Memory,1,O,70.6,1,11.3,11.4,43,88,2.4,2.5
Genetic Alzheimer's Disease Risk Affects the Neural Mechanisms of Pattern Separation in Hippocampal Subfields,Lee et al. (2020),2020,54,Spatial Long Term Memory,0,Y,22.29253731,0,0.7,0.72,34,33,0.058309519,0.114891253
Genetic Alzheimer's Disease Risk Affects the Neural Mechanisms of Pattern Separation in Hippocampal Subfields,Lee et al. (2020),2020,54,Spatial Long Term Memory,0,Y,22.29253731,0,0.78,0.75,34,33,0.116619038,0.172336879
Genetic risk of dementia modifies obesity effects on white matter myelin in cognitively healthy adults,Mole et al. (2020),2020,55,Spatial Working Memory,NA,L,NA,NA,25.4505,26.1016,101,64,5.15194,5.99549
Genetic risk of dementia modifies obesity effects on white matter myelin in cognitively healthy adults,Mole et al. (2020),2020,55,Spatial Long Term Memory,NA,L,NA,NA,24.0297,24.6484,101,64,5.29142,6.63366
Genetic risk of dementia modifies obesity effects on white matter myelin in cognitively healthy adults,Mole et al. (2020),2020,55,Spatial Long Term Memory,NA,L,NA,NA,20.6535,21.3906,101,64,4.3599,4.71276
Genetic risk of dementia modifies obesity effects on white matter myelin in cognitively healthy adults,Mole et al. (2020),2020,55,Spatial Working Memory,NA,L,NA,NA,4.3759,4.4422,98,60,0.68825,0.62627
Healthy versus Entorhinal Cortical Atrophy Identification in Asymptomatic APOE4 Carriers at Risk for Alzheimer's Disease,Konishi et al (2018),2018,56,Spatial Long Term Memory,1,O,66.1,1,20.96,17.83,13,47,6.94,5.35
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Construction,1,O,69.96875,1,31.9286,30.2875,10,54,2.5565,5.7656
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Spatial Long Term Memory,1,O,69.96875,1,19.2143,16.2625,10,54,6.47339,6.13626
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Spatial Navigation ,1,O,69.96875,1,-22.3904,-22.3319,10,54,9.45402,8.84405
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Spatial Navigation ,1,O,69.96875,1,-20.9405,-23.1353,10,54,5.94058,9.20795
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Spatial Navigation ,1,O,69.96875,1,-38.1695,-36.1353,10,54,16.31147,21.64434
Homocysteine and real-space navigation performance among non-demented older adults,Parizkova et al (2017),2017,57,Spatial Navigation ,1,O,69.96875,1,-50.8128,-34.3087,10,54,37.93408,27.64434
Hormone replacement therapy is associated with improved cognition and larger brain volumes in at-risk APOE4 women: results from the European Prevention of Alzheimer’s Disease (EPAD) cohort,Saleh et al. (2023),2023,58,Construction,1,O,65.1,1,104.66,105.16,352,602,17.26073,15.94819739
Hormone replacement therapy is associated with improved cognition and larger brain volumes in at-risk APOE4 women: results from the European Prevention of Alzheimer’s Disease (EPAD) cohort,Saleh et al. (2023),2023,58,Spatial Long Term Memory,1,O,65.1,1,7.48,8.31,33,32,3.159509456,2.432447327
Hormone replacement therapy is associated with improved cognition and larger brain volumes in at-risk APOE4 women: results from the European Prevention of Alzheimer’s Disease (EPAD) cohort,Saleh et al. (2023),2023,58,Spatial Navigation,1,O,65.1,1,5.14,6.54,33,34,3.102063829,3.673499694
Imbalanced hippocampal functional networks associated with remitted geriatric depression and apolipoprotein E epsilon 4 allele in nondemented elderly: A preliminary study,Shu et al. (2014),2014,59,Construction,1,O,71.40689655,1,0.29,0.28,7,22,0.29,0.3
Imbalanced hippocampal functional networks associated with remitted geriatric depression and apolipoprotein E epsilon 4 allele in nondemented elderly: A preliminary study,Shu et al. (2014),2014,59,Spatial Working Memory,1,O,71.40689655,1,-0.02,0.09,7,22,0.92,0.94
Impact of APOE epsilon4 on the cognitive performance of a sample of non-demented Puerto Rican nonagenarians,Carrion-Baralt et al (2009),2009,60,Construction,1,O,92.9,1,8.64,8,14,73,1.45,1.95
Impact of APOE epsilon4 on the cognitive performance of a sample of non-demented Puerto Rican nonagenarians,Carrion-Baralt et al (2009),2009,60,Construction,1,O,92.9,1,0.79,0.44,14,73,0.47,0.5
Increased Brain Activation During Working Memory in Cognitively Intact Adults With the APOE ε4 Allele (Visual Reproduction),Wishart et al (2006),2006,61,Spatial Long Term Memory,1,O,66.6,1,12.9,12.6,13,22,2.7,3.6
"Influence and interactions of cathepsin D, HLA-DRB1 and APOE on cognitive abilities in an older non-demented population",Payton et al (2006),2006,62,Spatial Working Memory,1,O,64.96237641,1,7.64,7.5,429,1250,2.4,2.47
"Influence and interactions of cathepsin D, HLA-DRB1 and APOE on cognitive abilities in an older non-demented population",Payton et al (2006),2006,62,Spatial Working Memory,1,O,64.96251786,1,35.03,35.3,429,1251,3.73,3.51
Influence of brain-derived neurotrophic-factor and apolipoprotein E genetic variants on hippocampal volume and memory performance in healthy young adults,Richter-Schmidinger et al (2011),2011,63,Composite,0,Y,24.5,0,51.17,52.13,18,117,4.95,5.75
MACS (Marburg-Münster Affective Disorders Cohort Study),Goltermann,,64,Spatial Working Memory,0,Y,34.79118428,0,8.7201,9.1502,268,839,1.7905,1.9477
MACS (Marburg-Münster Affective Disorders Cohort Study),Goltermann,,64,Spatial Working Memory,0,Y,34.79118428,0,8.4216,8.5566,268,839,1.7259,1.9206
Mapping the Interactive Effects of ApoE Gene Polymorphism on Caudate Functional Connectivity in Mild Cognitive Impairment Associated With Parkinson's Disease,Shang et al. (2020),2020,65,Spatial Reasoning,1,O,62.65176471,1,20.29,22.06,26,42,7.26,5.78
Medial temporal lobe dysfunction during encoding and retrieval of episodic memory in non-demented APOE ε4 carriers,Kukolja et al. (2010),2010,66,Spatial Long Term Memory,1,O,60.57777778,1,27.1,41.9,8,10,5.7,12.9
Memory performance and the apolipoprotein E polymorphism in a community sample of middle-aged adults,Flory et al. (2000),2000,67,Spatial Long Term Memory,1,M,45.53181818,1,15.8,18.9,61,159,7.81,7.57
Memory precision of object-location binding is unimpaired in APOE ε4-carriers with spatial navigation deficits,Gellersen et al. (2021),2021,68,Spatial Long Term Memory,1,O,64.00869565,1,0.8,0.8,20,26,0.08,0.06
Memory precision of object-location binding is unimpaired in APOE ε4-carriers with spatial navigation deficits,Gellersen et al. (2021),2021,68,Spatial Long Term Memory,1,O,64.00869565,1,21.9,21.4,20,26,4.67,5.73
Memory precision of object-location binding is unimpaired in APOE ε4-carriers with spatial navigation deficits,Gellersen et al. (2021),2021,68,Spatial Working Memory,1,O,64.00869565,1,31.8,33.3,20,26,2.69,2.59
Middle-Aged Children of Persons With Alzheimer’s Disease: APOE Genotypes and Cognitive Function in the Wisconsin Registry for Alzheimer’s Prevention ,Sager et al (2005),2005,69,Construction,1,M,53,1,43.91,46.62,204,248,10.97,12.01
Middle-Aged Children of Persons With Alzheimer’s Disease: APOE Genotypes and Cognitive Function in the Wisconsin Registry for Alzheimer’s Prevention ,Sager et al (2005),2005,69,Construction,1,M,53,1,25.63,25.62,204,248,3.51,3.56
Middle-Aged Children of Persons With Alzheimer’s Disease: APOE Genotypes and Cognitive Function in the Wisconsin Registry for Alzheimer’s Prevention ,Sager et al (2005),2005,69,Construction,1,M,53,1,25.72,25.99,204,248,4.06,3.49
"Midlife cardiovascular risk factors, ApoE, and cognitive decline in elderly male twins",Carmelli et al (1998),1998,70,Spatial Working Memory ,1,O,63,1,-5.7,-6.4,155,431,3.1,3.1
MMSE items predict cognitive decline in persons with genetic risk for Alzheimer's disease,Ercoli et al. (2003),2003,71,Spatial Long Term Memory,1,O,65.6,1,19.4,20.2,23,31,5.5,7.3
MMSE items predict cognitive decline in persons with genetic risk for Alzheimer's disease,Ercoli et al. (2003),2003,71,Spatial Long Term Memory,1,O,65.6,1,-4.1,-4.9,23,31,2.4,3.4
